game_id,game,config,agent,trial,first_version,second_version,winner,plies,end_reason,seed,time_budget_s,max_nodes,max_entries,experiment
isolation.easy.heuristic.v2-v3.t0,isolation,easy,heuristic,0,v2,v3,second,20,no_moves,13294576123232681228,0.5,50000,200000,version_duel
isolation.easy.heuristic.v3-v2.t0,isolation,easy,heuristic,0,v3,v2,second,20,no_moves,13294576123232681228,0.5,50000,200000,version_duel
isolation.easy.alpha_beta.v2-v3.t0,isolation,easy,alpha_beta,0,v2,v3,first,17,no_moves,13798448665668932377,0.5,50000,200000,version_duel
isolation.easy.alpha_beta.v3-v2.t0,isolation,easy,alpha_beta,0,v3,v2,first,17,no_moves,13798448665668932377,0.5,50000,200000,version_duel
isolation.easy.mcts.v2-v3.t0,isolation,easy,mcts,0,v2,v3,first,23,no_moves,1985946485230435531,0.5,50000,200000,version_duel
isolation.easy.mcts.v3-v2.t0,isolation,easy,mcts,0,v3,v2,first,13,no_moves,1985946485230435531,0.5,50000,200000,version_duel
isolation.main.heuristic.v2-v3.t0,isolation,main,heuristic,0,v2,v3,first,15,no_moves,7602926172812578772,0.1,50000,200000,version_duel
isolation.main.heuristic.v3-v2.t0,isolation,main,heuristic,0,v3,v2,first,15,no_moves,7602926172812578772,0.1,50000,200000,version_duel
isolation.main.alpha_beta.v2-v3.t0,isolation,main,alpha_beta,0,v2,v3,first,17,no_moves,17438482006510613753,0.1,50000,200000,version_duel
isolation.main.alpha_beta.v3-v2.t0,isolation,main,alpha_beta,0,v3,v2,first,17,no_moves,17438482006510613753,0.1,50000,200000,version_duel
isolation.main.mcts.v2-v3.t0,isolation,main,mcts,0,v2,v3,second,14,no_moves,3407790551436859219,0.1,50000,200000,version_duel
isolation.main.mcts.v3-v2.t0,isolation,main,mcts,0,v3,v2,second,20,no_moves,3407790551436859219,0.1,50000,200000,version_duel
isolation.hard.heuristic.v2-v3.t0,isolation,hard,heuristic,0,v2,v3,second,16,no_moves,11400948842811121409,0.02,50000,200000,version_duel
isolation.hard.heuristic.v3-v2.t0,isolation,hard,heuristic,0,v3,v2,second,16,no_moves,11400948842811121409,0.02,50000,200000,version_duel
isolation.hard.alpha_beta.v2-v3.t0,isolation,hard,alpha_beta,0,v2,v3,first,19,no_moves,13008843549136814953,0.02,50000,200000,version_duel
isolation.hard.alpha_beta.v3-v2.t0,isolation,hard,alpha_beta,0,v3,v2,first,19,no_moves,13008843549136814953,0.02,50000,200000,version_duel
isolation.hard.mcts.v2-v3.t0,isolation,hard,mcts,0,v2,v3,second,18,no_moves,13613785993239639194,0.02,50000,200000,version_duel
isolation.hard.mcts.v3-v2.t0,isolation,hard,mcts,0,v3,v2,second,22,no_moves,13613785993239639194,0.02,50000,200000,version_duel
uttt.easy.heuristic.v2-v3.t0,uttt,easy,heuristic,0,v2,v3,first,45,line,13207265415831282767,2.0,50000,200000,version_duel
uttt.easy.heuristic.v3-v2.t0,uttt,easy,heuristic,0,v3,v2,first,45,line,13207265415831282767,2.0,50000,200000,version_duel
uttt.easy.alpha_beta.v2-v3.t0,uttt,easy,alpha_beta,0,v2,v3,draw,58,early_draw,10525791372542762285,2.0,50000,200000,version_duel
uttt.easy.alpha_beta.v3-v2.t0,uttt,easy,alpha_beta,0,v3,v2,draw,58,early_draw,10525791372542762285,2.0,50000,200000,version_duel
uttt.easy.mcts.v2-v3.t0,uttt,easy,mcts,0,v2,v3,second,54,line,7397200944099467997,2.0,50000,200000,version_duel
uttt.easy.mcts.v3-v2.t0,uttt,easy,mcts,0,v3,v2,draw,47,early_draw,7397200944099467997,2.0,50000,200000,version_duel
uttt.main.heuristic.v2-v3.t0,uttt,main,heuristic,0,v2,v3,second,32,line,17630458464402969613,0.5,50000,200000,version_duel
uttt.main.heuristic.v3-v2.t0,uttt,main,heuristic,0,v3,v2,second,32,line,17630458464402969613,0.5,50000,200000,version_duel
uttt.main.alpha_beta.v2-v3.t0,uttt,main,alpha_beta,0,v2,v3,first,49,line,5212344650782218301,0.5,50000,200000,version_duel
uttt.main.alpha_beta.v3-v2.t0,uttt,main,alpha_beta,0,v3,v2,first,49,line,5212344650782218301,0.5,50000,200000,version_duel
uttt.main.mcts.v2-v3.t0,uttt,main,mcts,0,v2,v3,first,39,line,15362384534862372448,0.5,50000,200000,version_duel
uttt.main.mcts.v3-v2.t0,uttt,main,mcts,0,v3,v2,first,47,line,15362384534862372448,0.5,50000,200000,version_duel
uttt.hard.heuristic.v2-v3.t0,uttt,hard,heuristic,0,v2,v3,first,41,line,13694534922080113128,0.1,50000,200000,version_duel
uttt.hard.heuristic.v3-v2.t0,uttt,hard,heuristic,0,v3,v2,first,41,line,13694534922080113128,0.1,50000,200000,version_duel
uttt.hard.alpha_beta.v2-v3.t0,uttt,hard,alpha_beta,0,v2,v3,first,57,line,10288775977274011829,0.1,50000,200000,version_duel
uttt.hard.alpha_beta.v3-v2.t0,uttt,hard,alpha_beta,0,v3,v2,first,47,line,10288775977274011829,0.1,50000,200000,version_duel
uttt.hard.mcts.v2-v3.t0,uttt,hard,mcts,0,v2,v3,draw,54,early_draw,4701926332903728122,0.1,50000,200000,version_duel
uttt.hard.mcts.v3-v2.t0,uttt,hard,mcts,0,v3,v2,second,42,line,4701926332903728122,0.1,50000,200000,version_duel
ataxx.easy.heuristic.v2-v3.t0,ataxx,easy,heuristic,0,v2,v3,second,66,board_full,8759713641913128167,2.0,50000,200000,version_duel
ataxx.easy.heuristic.v3-v2.t0,ataxx,easy,heuristic,0,v3,v2,first,65,board_full,8759713641913128167,2.0,50000,200000,version_duel
ataxx.easy.alpha_beta.v2-v3.t0,ataxx,easy,alpha_beta,0,v2,v3,second,92,board_full,5578109844059483595,2.0,50000,200000,version_duel
ataxx.easy.alpha_beta.v3-v2.t0,ataxx,easy,alpha_beta,0,v3,v2,second,76,board_full,5578109844059483595,2.0,50000,200000,version_duel
ataxx.easy.mcts.v2-v3.t0,ataxx,easy,mcts,0,v2,v3,first,87,board_full,14023025987622956909,2.0,50000,200000,version_duel
ataxx.easy.mcts.v3-v2.t0,ataxx,easy,mcts,0,v3,v2,second,82,board_full,14023025987622956909,2.0,50000,200000,version_duel
ataxx.main.heuristic.v2-v3.t0,ataxx,main,heuristic,0,v2,v3,second,64,board_full,8996677297784486471,0.5,50000,200000,version_duel
ataxx.main.heuristic.v3-v2.t0,ataxx,main,heuristic,0,v3,v2,first,65,board_full,8996677297784486471,0.5,50000,200000,version_duel
ataxx.main.alpha_beta.v2-v3.t0,ataxx,main,alpha_beta,0,v2,v3,second,84,board_full,16844195780691944166,0.5,50000,200000,version_duel
ataxx.main.alpha_beta.v3-v2.t0,ataxx,main,alpha_beta,0,v3,v2,second,72,board_full,16844195780691944166,0.5,50000,200000,version_duel
ataxx.main.mcts.v2-v3.t0,ataxx,main,mcts,0,v2,v3,first,21,eliminated,1737054992665494326,0.5,50000,200000,version_duel
ataxx.main.mcts.v3-v2.t0,ataxx,main,mcts,0,v3,v2,first,99,board_full,1737054992665494326,0.5,50000,200000,version_duel
ataxx.hard.heuristic.v2-v3.t0,ataxx,hard,heuristic,0,v2,v3,second,72,board_full,8489238735241860140,0.1,50000,200000,version_duel
ataxx.hard.heuristic.v3-v2.t0,ataxx,hard,heuristic,0,v3,v2,first,67,board_full,8489238735241860140,0.1,50000,200000,version_duel
ataxx.hard.alpha_beta.v2-v3.t0,ataxx,hard,alpha_beta,0,v2,v3,first,75,board_full,6771665301913521775,0.1,50000,200000,version_duel
ataxx.hard.alpha_beta.v3-v2.t0,ataxx,hard,alpha_beta,0,v3,v2,second,84,board_full,6771665301913521775,0.1,50000,200000,version_duel
ataxx.hard.mcts.v2-v3.t0,ataxx,hard,mcts,0,v2,v3,second,162,board_full,7827926048217235781,0.1,50000,200000,version_duel
ataxx.hard.mcts.v3-v2.t0,ataxx,hard,mcts,0,v3,v2,first,201,board_full,7827926048217235781,0.1,50000,200000,version_duel
isolation.easy.heuristic.v2-v3.t1,isolation,easy,heuristic,1,v2,v3,first,15,no_moves,17510729567881711655,0.5,50000,200000,version_duel
isolation.easy.heuristic.v3-v2.t1,isolation,easy,heuristic,1,v3,v2,first,15,no_moves,17510729567881711655,0.5,50000,200000,version_duel
isolation.easy.alpha_beta.v2-v3.t1,isolation,easy,alpha_beta,1,v2,v3,first,17,no_moves,2757117383995023545,0.5,50000,200000,version_duel
isolation.easy.alpha_beta.v3-v2.t1,isolation,easy,alpha_beta,1,v3,v2,first,17,no_moves,2757117383995023545,0.5,50000,200000,version_duel
isolation.easy.mcts.v2-v3.t1,isolation,easy,mcts,1,v2,v3,first,19,no_moves,11700897742090559307,0.5,50000,200000,version_duel
isolation.easy.mcts.v3-v2.t1,isolation,easy,mcts,1,v3,v2,first,13,no_moves,11700897742090559307,0.5,50000,200000,version_duel
isolation.main.heuristic.v2-v3.t1,isolation,main,heuristic,1,v2,v3,second,16,no_moves,13589927322182360183,0.1,50000,200000,version_duel
isolation.main.heuristic.v3-v2.t1,isolation,main,heuristic,1,v3,v2,second,16,no_moves,13589927322182360183,0.1,50000,200000,version_duel
isolation.main.alpha_beta.v2-v3.t1,isolation,main,alpha_beta,1,v2,v3,first,19,no_moves,14272959915666252127,0.1,50000,200000,version_duel
isolation.main.alpha_beta.v3-v2.t1,isolation,main,alpha_beta,1,v3,v2,first,17,no_moves,14272959915666252127,0.1,50000,200000,version_duel
isolation.main.mcts.v2-v3.t1,isolation,main,mcts,1,v2,v3,second,18,no_moves,5416441203781677598,0.1,50000,200000,version_duel
isolation.main.mcts.v3-v2.t1,isolation,main,mcts,1,v3,v2,first,19,no_moves,5416441203781677598,0.1,50000,200000,version_duel
isolation.hard.heuristic.v2-v3.t1,isolation,hard,heuristic,1,v2,v3,first,13,no_moves,7584354683154480874,0.02,50000,200000,version_duel
isolation.hard.heuristic.v3-v2.t1,isolation,hard,heuristic,1,v3,v2,first,13,no_moves,7584354683154480874,0.02,50000,200000,version_duel
isolation.hard.alpha_beta.v2-v3.t1,isolation,hard,alpha_beta,1,v2,v3,first,13,no_moves,6884417601863931509,0.02,50000,200000,version_duel
isolation.hard.alpha_beta.v3-v2.t1,isolation,hard,alpha_beta,1,v3,v2,first,13,no_moves,6884417601863931509,0.02,50000,200000,version_duel
isolation.hard.mcts.v2-v3.t1,isolation,hard,mcts,1,v2,v3,first,15,no_moves,2068450814874195065,0.02,50000,200000,version_duel
isolation.hard.mcts.v3-v2.t1,isolation,hard,mcts,1,v3,v2,first,13,no_moves,2068450814874195065,0.02,50000,200000,version_duel
uttt.easy.heuristic.v2-v3.t1,uttt,easy,heuristic,1,v2,v3,first,25,line,15848374623316541569,2.0,50000,200000,version_duel
uttt.easy.heuristic.v3-v2.t1,uttt,easy,heuristic,1,v3,v2,first,25,line,15848374623316541569,2.0,50000,200000,version_duel
uttt.easy.alpha_beta.v2-v3.t1,uttt,easy,alpha_beta,1,v2,v3,draw,55,early_draw,15402218961680998123,2.0,50000,200000,version_duel
uttt.easy.alpha_beta.v3-v2.t1,uttt,easy,alpha_beta,1,v3,v2,first,51,line,15402218961680998123,2.0,50000,200000,version_duel
uttt.easy.mcts.v2-v3.t1,uttt,easy,mcts,1,v2,v3,second,50,line,7934335742578814557,2.0,50000,200000,version_duel
uttt.easy.mcts.v3-v2.t1,uttt,easy,mcts,1,v3,v2,first,47,line,7934335742578814557,2.0,50000,200000,version_duel
uttt.main.heuristic.v2-v3.t1,uttt,main,heuristic,1,v2,v3,first,41,line,7699973716766153503,0.5,50000,200000,version_duel
uttt.main.heuristic.v3-v2.t1,uttt,main,heuristic,1,v3,v2,first,41,line,7699973716766153503,0.5,50000,200000,version_duel
uttt.main.alpha_beta.v2-v3.t1,uttt,main,alpha_beta,1,v2,v3,first,43,line,718393879086831161,0.5,50000,200000,version_duel
uttt.main.alpha_beta.v3-v2.t1,uttt,main,alpha_beta,1,v3,v2,draw,60,early_draw,718393879086831161,0.5,50000,200000,version_duel
uttt.main.mcts.v2-v3.t1,uttt,main,mcts,1,v2,v3,first,47,line,16101844838077131552,0.5,50000,200000,version_duel
uttt.main.mcts.v3-v2.t1,uttt,main,mcts,1,v3,v2,draw,52,early_draw,16101844838077131552,0.5,50000,200000,version_duel
uttt.hard.heuristic.v2-v3.t1,uttt,hard,heuristic,1,v2,v3,first,43,line,1470985500441606598,0.1,50000,200000,version_duel
uttt.hard.heuristic.v3-v2.t1,uttt,hard,heuristic,1,v3,v2,first,43,line,1470985500441606598,0.1,50000,200000,version_duel
uttt.hard.alpha_beta.v2-v3.t1,uttt,hard,alpha_beta,1,v2,v3,first,45,line,4857178296423928053,0.1,50000,200000,version_duel
uttt.hard.alpha_beta.v3-v2.t1,uttt,hard,alpha_beta,1,v3,v2,first,45,line,4857178296423928053,0.1,50000,200000,version_duel
uttt.hard.mcts.v2-v3.t1,uttt,hard,mcts,1,v2,v3,first,41,line,2477500558463571813,0.1,50000,200000,version_duel
uttt.hard.mcts.v3-v2.t1,uttt,hard,mcts,1,v3,v2,first,51,line,2477500558463571813,0.1,50000,200000,version_duel
ataxx.easy.heuristic.v2-v3.t1,ataxx,easy,heuristic,1,v2,v3,first,63,board_full,9681660369403570171,2.0,50000,200000,version_duel
ataxx.easy.heuristic.v3-v2.t1,ataxx,easy,heuristic,1,v3,v2,first,69,board_full,9681660369403570171,2.0,50000,200000,version_duel
ataxx.easy.alpha_beta.v2-v3.t1,ataxx,easy,alpha_beta,1,v2,v3,second,90,board_full,2363457349540666595,2.0,50000,200000,version_duel
ataxx.easy.alpha_beta.v3-v2.t1,ataxx,easy,alpha_beta,1,v3,v2,first,81,board_full,2363457349540666595,2.0,50000,200000,version_duel
ataxx.easy.mcts.v2-v3.t1,ataxx,easy,mcts,1,v2,v3,first,23,eliminated,5949533085873318794,2.0,50000,200000,version_duel
ataxx.easy.mcts.v3-v2.t1,ataxx,easy,mcts,1,v3,v2,first,80,board_full,5949533085873318794,2.0,50000,200000,version_duel
ataxx.main.heuristic.v2-v3.t1,ataxx,main,heuristic,1,v2,v3,second,70,board_full,14947624051167975635,0.5,50000,200000,version_duel
ataxx.main.heuristic.v3-v2.t1,ataxx,main,heuristic,1,v3,v2,first,67,board_full,14947624051167975635,0.5,50000,200000,version_duel
ataxx.main.alpha_beta.v2-v3.t1,ataxx,main,alpha_beta,1,v2,v3,second,84,board_full,7883901219673424068,0.5,50000,200000,version_duel
ataxx.main.alpha_beta.v3-v2.t1,ataxx,main,alpha_beta,1,v3,v2,first,75,board_full,7883901219673424068,0.5,50000,200000,version_duel
ataxx.main.mcts.v2-v3.t1,ataxx,main,mcts,1,v2,v3,first,107,board_full,16995323139462135471,0.5,50000,200000,version_duel
ataxx.main.mcts.v3-v2.t1,ataxx,main,mcts,1,v3,v2,first,137,board_full,16995323139462135471,0.5,50000,200000,version_duel
ataxx.hard.heuristic.v2-v3.t1,ataxx,hard,heuristic,1,v2,v3,first,73,board_full,7467536621871652868,0.1,50000,200000,version_duel
ataxx.hard.heuristic.v3-v2.t1,ataxx,hard,heuristic,1,v3,v2,second,72,board_full,7467536621871652868,0.1,50000,200000,version_duel
ataxx.hard.alpha_beta.v2-v3.t1,ataxx,hard,alpha_beta,1,v2,v3,second,82,board_full,17605964526057042417,0.1,50000,200000,version_duel
ataxx.hard.alpha_beta.v3-v2.t1,ataxx,hard,alpha_beta,1,v3,v2,first,77,board_full,17605964526057042417,0.1,50000,200000,version_duel
ataxx.hard.mcts.v2-v3.t1,ataxx,hard,mcts,1,v2,v3,first,35,eliminated,682779646508396417,0.1,50000,200000,version_duel
ataxx.hard.mcts.v3-v2.t1,ataxx,hard,mcts,1,v3,v2,first,167,board_full,682779646508396417,0.1,50000,200000,version_duel
isolation.easy.heuristic.v2-v3.t2,isolation,easy,heuristic,2,v2,v3,first,17,no_moves,8466586759398627972,0.5,50000,200000,version_duel
isolation.easy.heuristic.v3-v2.t2,isolation,easy,heuristic,2,v3,v2,first,17,no_moves,8466586759398627972,0.5,50000,200000,version_duel
isolation.easy.alpha_beta.v2-v3.t2,isolation,easy,alpha_beta,2,v2,v3,first,17,no_moves,10234779669241780475,0.5,50000,200000,version_duel
isolation.easy.alpha_beta.v3-v2.t2,isolation,easy,alpha_beta,2,v3,v2,first,17,no_moves,10234779669241780475,0.5,50000,200000,version_duel
isolation.easy.mcts.v2-v3.t2,isolation,easy,mcts,2,v2,v3,second,22,no_moves,17709874875062539425,0.5,50000,200000,version_duel
isolation.easy.mcts.v3-v2.t2,isolation,easy,mcts,2,v3,v2,first,13,no_moves,17709874875062539425,0.5,50000,200000,version_duel
isolation.main.heuristic.v2-v3.t2,isolation,main,heuristic,2,v2,v3,first,13,no_moves,6063348022023119532,0.1,50000,200000,version_duel
isolation.main.heuristic.v3-v2.t2,isolation,main,heuristic,2,v3,v2,first,13,no_moves,6063348022023119532,0.1,50000,200000,version_duel
isolation.main.alpha_beta.v2-v3.t2,isolation,main,alpha_beta,2,v2,v3,first,17,no_moves,15999701297460590165,0.1,50000,200000,version_duel
isolation.main.alpha_beta.v3-v2.t2,isolation,main,alpha_beta,2,v3,v2,first,17,no_moves,15999701297460590165,0.1,50000,200000,version_duel
isolation.main.mcts.v2-v3.t2,isolation,main,mcts,2,v2,v3,first,11,no_moves,507777318420032544,0.1,50000,200000,version_duel
isolation.main.mcts.v3-v2.t2,isolation,main,mcts,2,v3,v2,first,11,no_moves,507777318420032544,0.1,50000,200000,version_duel
isolation.hard.heuristic.v2-v3.t2,isolation,hard,heuristic,2,v2,v3,second,18,no_moves,5807625809018239054,0.02,50000,200000,version_duel
isolation.hard.heuristic.v3-v2.t2,isolation,hard,heuristic,2,v3,v2,second,18,no_moves,5807625809018239054,0.02,50000,200000,version_duel
isolation.hard.alpha_beta.v2-v3.t2,isolation,hard,alpha_beta,2,v2,v3,first,13,no_moves,9538011561397476884,0.02,50000,200000,version_duel
isolation.hard.alpha_beta.v3-v2.t2,isolation,hard,alpha_beta,2,v3,v2,first,13,no_moves,9538011561397476884,0.02,50000,200000,version_duel
isolation.hard.mcts.v2-v3.t2,isolation,hard,mcts,2,v2,v3,second,16,no_moves,17910800643959017397,0.02,50000,200000,version_duel
