game_id,ply,side,version,tag,elapsed_s,nodes,simulations,depth,move,legal_move_count,tt_lookups,tt_hits,tt_size,mcts_tree_nodes,mcts_reused_nodes
isolation.easy.heuristic.v2-v3.t0,0,0,v2,normal,0.000161,11,,,c3,11,,,,,
isolation.easy.heuristic.v2-v3.t0,1,1,v3,normal,0.000150,9,,,b2,9,,,,,
isolation.easy.heuristic.v2-v3.t0,2,0,v2,normal,0.000273,12,,,b3,12,,,,,
isolation.easy.heuristic.v2-v3.t0,3,1,v3,normal,0.000160,7,,,e2,7,,,,,
isolation.easy.heuristic.v2-v3.t0,4,0,v2,normal,0.000166,9,,,c4,9,,,,,
isolation.easy.heuristic.v2-v3.t0,5,1,v3,normal,0.000157,8,,,d3,8,,,,,
isolation.easy.heuristic.v2-v3.t0,6,0,v2,normal,0.000112,6,,,a4,6,,,,,
isolation.easy.heuristic.v2-v3.t0,7,1,v3,normal,0.000146,8,,,d4,8,,,,,
isolation.easy.heuristic.v2-v3.t0,8,0,v2,normal,0.000103,6,,,a1,6,,,,,
isolation.easy.heuristic.v2-v3.t0,9,1,v3,normal,0.000072,4,,,e4,4,,,,,
isolation.easy.heuristic.v2-v3.t0,10,0,v2,normal,0.000052,3,,,a2,3,,,,,
isolation.easy.heuristic.v2-v3.t0,11,1,v3,normal,0.000053,3,,,e3,3,,,,,
isolation.easy.heuristic.v2-v3.t0,12,0,v2,normal,0.000032,2,,,a3,2,,,,,
isolation.easy.heuristic.v2-v3.t0,13,1,v3,normal,0.000023,1,,,d2,1,,,,,
isolation.easy.heuristic.v2-v3.t0,14,0,v2,normal,0.000022,1,,,b4,1,,,,,
isolation.easy.heuristic.v2-v3.t0,15,1,v3,normal,0.000058,3,,,c2,3,,,,,
isolation.easy.heuristic.v2-v3.t0,16,0,v2,normal,0.000036,2,,,a5,2,,,,,
isolation.easy.heuristic.v2-v3.t0,17,1,v3,normal,0.000035,2,,,d1,2,,,,,
isolation.easy.heuristic.v2-v3.t0,18,0,v2,normal,0.000020,1,,,b5,1,,,,,
isolation.easy.heuristic.v2-v3.t0,19,1,v3,normal,0.000016,1,,,e1,1,,,,,
isolation.easy.heuristic.v3-v2.t0,0,0,v3,normal,0.000275,11,,,c3,11,,,,,
isolation.easy.heuristic.v3-v2.t0,1,1,v2,normal,0.000230,9,,,b2,9,,,,,
isolation.easy.heuristic.v3-v2.t0,2,0,v3,normal,0.000222,12,,,b3,12,,,,,
isolation.easy.heuristic.v3-v2.t0,3,1,v2,normal,0.000134,7,,,e2,7,,,,,
isolation.easy.heuristic.v3-v2.t0,4,0,v3,normal,0.000172,9,,,c4,9,,,,,
isolation.easy.heuristic.v3-v2.t0,5,1,v2,normal,0.000138,8,,,d3,8,,,,,
isolation.easy.heuristic.v3-v2.t0,6,0,v3,normal,0.000171,6,,,a4,6,,,,,
isolation.easy.heuristic.v3-v2.t0,7,1,v2,normal,0.000126,8,,,d4,8,,,,,
isolation.easy.heuristic.v3-v2.t0,8,0,v3,normal,0.000103,6,,,a1,6,,,,,
isolation.easy.heuristic.v3-v2.t0,9,1,v2,normal,0.000057,4,,,e4,4,,,,,
isolation.easy.heuristic.v3-v2.t0,10,0,v3,normal,0.000051,3,,,a2,3,,,,,
isolation.easy.heuristic.v3-v2.t0,11,1,v2,normal,0.000043,3,,,e3,3,,,,,
isolation.easy.heuristic.v3-v2.t0,12,0,v3,normal,0.000033,2,,,a3,2,,,,,
isolation.easy.heuristic.v3-v2.t0,13,1,v2,normal,0.000020,1,,,d2,1,,,,,
isolation.easy.heuristic.v3-v2.t0,14,0,v3,normal,0.000019,1,,,b4,1,,,,,
isolation.easy.heuristic.v3-v2.t0,15,1,v2,normal,0.000047,3,,,c2,3,,,,,
isolation.easy.heuristic.v3-v2.t0,16,0,v3,normal,0.000035,2,,,a5,2,,,,,
isolation.easy.heuristic.v3-v2.t0,17,1,v2,normal,0.000028,2,,,d1,2,,,,,
isolation.easy.heuristic.v3-v2.t0,18,0,v3,normal,0.000020,1,,,b5,1,,,,,
isolation.easy.heuristic.v3-v2.t0,19,1,v2,normal,0.000011,1,,,e1,1,,,,,
isolation.easy.alpha_beta.v2-v3.t0,0,0,v2,time-limited,0.500114,90599,,8,c2,11,,,,,
isolation.easy.alpha_beta.v2-v3.t0,1,1,v3,time-limited,0.500040,93445,,10,b2,8,44157,18957,25195,,
isolation.easy.alpha_beta.v2-v3.t0,2,0,v2,time-limited,0.500053,85925,,10,c3,10,,,,,
isolation.easy.alpha_beta.v2-v3.t0,3,1,v3,time-limited,0.500089,105377,,14,b5,7,72915,51856,46254,,
isolation.easy.alpha_beta.v2-v3.t0,4,0,v2,time-limited,0.500052,107377,,14,c4,11,,,,,
isolation.easy.alpha_beta.v2-v3.t0,5,1,v3,normal,0.130669,34651,,16,b3,4,29357,26465,49146,,
isolation.easy.alpha_beta.v2-v3.t0,6,0,v2,normal,0.094965,23608,,15,d4,7,,,,,
isolation.easy.alpha_beta.v2-v3.t0,7,1,v3,normal,0.005918,1347,,8,a4,4,817,502,49461,,
isolation.easy.alpha_beta.v2-v3.t0,8,0,v2,normal,0.006117,1336,,7,d5,7,,,,,
isolation.easy.alpha_beta.v2-v3.t0,9,1,v3,normal,0.001782,498,,8,a3,5,255,161,49555,,
isolation.easy.alpha_beta.v2-v3.t0,10,0,v2,normal,0.001724,450,,7,e5,2,,,,,
isolation.easy.alpha_beta.v2-v3.t0,11,1,v3,normal,0.000039,6,,2,a2,3,3,3,49555,,
isolation.easy.alpha_beta.v2-v3.t0,12,0,v2,normal,0.000053,10,,2,e4,4,,,,,
isolation.easy.alpha_beta.v2-v3.t0,13,1,v3,normal,0.000026,4,,2,a1,2,2,2,49555,,
isolation.easy.alpha_beta.v2-v3.t0,14,0,v2,normal,0.000036,8,,2,e2,4,,,,,
isolation.easy.alpha_beta.v2-v3.t0,15,1,v3,normal,0.000017,2,,2,b1,1,1,1,49555,,
isolation.easy.alpha_beta.v2-v3.t0,16,0,v2,normal,0.000016,5,,1,d3,5,,,,,
isolation.easy.alpha_beta.v3-v2.t0,0,0,v3,time-limited,0.500070,97687,,8,c2,11,32658,9294,23363,,
isolation.easy.alpha_beta.v3-v2.t0,1,1,v2,time-limited,0.500066,97637,,10,b2,8,,,,,
isolation.easy.alpha_beta.v3-v2.t0,2,0,v3,time-limited,0.500042,97893,,10,c3,10,49542,23551,49353,,
isolation.easy.alpha_beta.v3-v2.t0,3,1,v2,time-limited,0.500040,101425,,14,b5,7,,,,,
isolation.easy.alpha_beta.v3-v2.t0,4,0,v3,time-limited,0.500058,112465,,14,c4,11,82160,61945,69568,,
isolation.easy.alpha_beta.v3-v2.t0,5,1,v2,normal,0.133963,34651,,16,b3,4,,,,,
isolation.easy.alpha_beta.v3-v2.t0,6,0,v3,normal,0.081323,23410,,15,d4,7,20951,19407,71112,,
isolation.easy.alpha_beta.v3-v2.t0,7,1,v2,normal,0.005239,1347,,8,a4,4,,,,,
isolation.easy.alpha_beta.v3-v2.t0,8,0,v3,normal,0.005053,1336,,7,d5,7,805,483,71434,,
isolation.easy.alpha_beta.v3-v2.t0,9,1,v2,normal,0.001601,498,,8,a3,5,,,,,
isolation.easy.alpha_beta.v3-v2.t0,10,0,v3,normal,0.001417,450,,7,e5,2,212,118,71528,,
isolation.easy.alpha_beta.v3-v2.t0,11,1,v2,normal,0.000029,6,,2,a2,3,,,,,
isolation.easy.alpha_beta.v3-v2.t0,12,0,v3,normal,0.000049,10,,2,e4,4,4,4,71528,,
isolation.easy.alpha_beta.v3-v2.t0,13,1,v2,normal,0.000019,4,,2,a1,2,,,,,
isolation.easy.alpha_beta.v3-v2.t0,14,0,v3,normal,0.000048,8,,2,e2,4,4,4,71528,,
isolation.easy.alpha_beta.v3-v2.t0,15,1,v2,normal,0.000041,2,,2,b1,1,,,,,
isolation.easy.alpha_beta.v3-v2.t0,16,0,v3,normal,0.000015,5,,1,d3,5,0,0,71528,,
isolation.easy.mcts.v2-v3.t0,0,0,v2,time-limited,0.500013,,9909,,b5,11,,,,,
isolation.easy.mcts.v2-v3.t0,1,1,v3,time-limited,0.500020,,13424,,c3,11,,,,13416,0
isolation.easy.mcts.v2-v3.t0,2,0,v2,time-limited,0.500012,,9754,,b1,9,,,,,
isolation.easy.mcts.v2-v3.t0,3,1,v3,time-limited,0.500016,,14882,,c2,14,,,,14969,127
isolation.easy.mcts.v2-v3.t0,4,0,v2,time-limited,0.500017,,15516,,b4,5,,,,,
isolation.easy.mcts.v2-v3.t0,5,1,v3,time-limited,0.500017,,21610,,d1,9,,,,18950,1118
isolation.easy.mcts.v2-v3.t0,6,0,v2,time-limited,0.500015,,26490,,d4,8,,,,,
isolation.easy.mcts.v2-v3.t0,7,1,v3,time-limited,0.500020,,29246,,d3,4,,,,12301,4380
isolation.easy.mcts.v2-v3.t0,8,0,v2,time-limited,0.500012,,30317,,c4,5,,,,,
isolation.easy.mcts.v2-v3.t0,9,1,v3,time-limited,0.500019,,41796,,d2,4,,,,11905,8592
isolation.easy.mcts.v2-v3.t0,10,0,v2,time-limited,0.500016,,42223,,a2,3,,,,,
isolation.easy.mcts.v2-v3.t0,11,1,v3,time-limited,0.500015,,52193,,e1,3,,,,4064,3615
isolation.easy.mcts.v2-v3.t0,12,0,v2,time-limited,0.500017,,54362,,a1,6,,,,,
isolation.easy.mcts.v2-v3.t0,13,1,v3,time-limited,0.500026,,65574,,e2,4,,,,613,606
isolation.easy.mcts.v2-v3.t0,14,0,v2,time-limited,0.500016,,66289,,b2,1,,,,,
isolation.easy.mcts.v2-v3.t0,15,1,v3,time-limited,0.500023,,73382,,e3,3,,,,268,268
isolation.easy.mcts.v2-v3.t0,16,0,v2,time-limited,0.500019,,76966,,a3,2,,,,,
isolation.easy.mcts.v2-v3.t0,17,1,v3,time-limited,0.500019,,84887,,e5,2,,,,61,61
isolation.easy.mcts.v2-v3.t0,18,0,v2,time-limited,0.500013,,99241,,a5,3,,,,,
isolation.easy.mcts.v2-v3.t0,19,1,v3,time-limited,0.500017,,116048,,d5,2,,,,9,9
isolation.easy.mcts.v2-v3.t0,20,0,v2,time-limited,0.500010,,148861,,a4,1,,,,,
isolation.easy.mcts.v2-v3.t0,21,1,v3,time-limited,0.500015,,180250,,e4,1,,,,3,3
isolation.easy.mcts.v2-v3.t0,22,0,v2,time-limited,0.500017,,225252,,b3,1,,,,,
isolation.easy.mcts.v3-v2.t0,0,0,v3,time-limited,0.500019,,10125,,b5,11,,,,10126,0
isolation.easy.mcts.v3-v2.t0,1,1,v2,time-limited,0.500013,,7823,,c3,11,,,,,
isolation.easy.mcts.v3-v2.t0,2,0,v3,time-limited,0.500022,,9498,,b1,9,,,,9575,95
isolation.easy.mcts.v3-v2.t0,3,1,v2,time-limited,0.500010,,9039,,e3,14,,,,,
isolation.easy.mcts.v3-v2.t0,4,0,v3,time-limited,0.500011,,20877,,d3,8,,,,11279,82
isolation.easy.mcts.v3-v2.t0,5,1,v2,time-limited,0.500020,,32490,,e5,6,,,,,
isolation.easy.mcts.v3-v2.t0,6,0,v3,time-limited,0.500014,,61941,,c4,8,,,,2500,1832
isolation.easy.mcts.v3-v2.t0,7,1,v2,time-limited,0.500017,,61573,,d5,3,,,,,
isolation.easy.mcts.v3-v2.t0,8,0,v3,time-limited,0.500018,,71464,,a2,6,,,,429,429
isolation.easy.mcts.v3-v2.t0,9,1,v2,time-limited,0.500016,,86398,,d4,2,,,,,
isolation.easy.mcts.v3-v2.t0,10,0,v3,time-limited,0.500020,,97353,,a5,9,,,,63,63
isolation.easy.mcts.v3-v2.t0,11,1,v2,time-limited,0.500014,,160570,,e4,1,,,,,
isolation.easy.mcts.v3-v2.t0,12,0,v3,time-limited,0.500012,,205606,,a3,3,,,,4,4
isolation.main.heuristic.v2-v3.t0,0,0,v2,normal,0.000089,11,,,c3,11,,,,,
isolation.main.heuristic.v2-v3.t0,1,1,v3,normal,0.000078,9,,,d2,9,,,,,
isolation.main.heuristic.v2-v3.t0,2,0,v2,normal,0.000083,12,,,d3,12,,,,,
isolation.main.heuristic.v2-v3.t0,3,1,v3,normal,0.000051,7,,,a2,7,,,,,
isolation.main.heuristic.v2-v3.t0,4,0,v2,normal,0.000055,9,,,c4,9,,,,,
isolation.main.heuristic.v2-v3.t0,5,1,v3,normal,0.000056,8,,,b3,8,,,,,
isolation.main.heuristic.v2-v3.t0,6,0,v2,normal,0.000036,6,,,e4,6,,,,,
isolation.main.heuristic.v2-v3.t0,7,1,v3,normal,0.000049,8,,,a4,8,,,,,
isolation.main.heuristic.v2-v3.t0,8,0,v2,normal,0.000031,6,,,e3,6,,,,,
isolation.main.heuristic.v2-v3.t0,9,1,v3,normal,0.000025,4,,,b4,4,,,,,
isolation.main.heuristic.v2-v3.t0,10,0,v2,normal,0.000018,3,,,e1,3,,,,,
isolation.main.heuristic.v2-v3.t0,11,1,v3,normal,0.000017,3,,,a5,3,,,,,
isolation.main.heuristic.v2-v3.t0,12,0,v2,normal,0.000011,2,,,d1,2,,,,,
isolation.main.heuristic.v2-v3.t0,13,1,v3,normal,0.000008,1,,,b5,1,,,,,
isolation.main.heuristic.v2-v3.t0,14,0,v2,normal,0.000008,2,,,e2,2,,,,,
isolation.main.heuristic.v3-v2.t0,0,0,v3,normal,0.000082,11,,,c3,11,,,,,
isolation.main.heuristic.v3-v2.t0,1,1,v2,normal,0.000066,9,,,d2,9,,,,,
isolation.main.heuristic.v3-v2.t0,2,0,v3,normal,0.000085,12,,,d3,12,,,,,
isolation.main.heuristic.v3-v2.t0,3,1,v2,normal,0.000044,7,,,a2,7,,,,,
isolation.main.heuristic.v3-v2.t0,4,0,v3,normal,0.000059,9,,,c4,9,,,,,
isolation.main.heuristic.v3-v2.t0,5,1,v2,normal,0.000049,8,,,b3,8,,,,,
isolation.main.heuristic.v3-v2.t0,6,0,v3,normal,0.000040,6,,,e4,6,,,,,
isolation.main.heuristic.v3-v2.t0,7,1,v2,normal,0.000042,8,,,a4,8,,,,,
isolation.main.heuristic.v3-v2.t0,8,0,v3,normal,0.000034,6,,,e3,6,,,,,
