game_id,game,config,time_budget_s,max_nodes,max_entries,agent_first,agent_second,winner,plies,end_reason,seed,workers,agent_first_version,agent_second_version,agent_first_params,agent_second_params
isolation.easy.random-heuristic.t0,isolation,easy,0.5,50000,200000,random,heuristic,second,14,no_moves,887503256838377090,1,v2,v2,{},{}
isolation.easy.heuristic-random.t0,isolation,easy,0.5,50000,200000,heuristic,random,second,18,no_moves,4515998232983068216,1,v2,v2,{},{}
isolation.easy.random-alpha_beta.t0,isolation,easy,0.5,50000,200000,random,alpha_beta,second,8,no_moves,10063524669452763922,1,v2,v2,{},"{""max_entries"": 200000}"
isolation.easy.alpha_beta-random.t0,isolation,easy,0.5,50000,200000,alpha_beta,random,first,13,no_moves,14786829207847678580,1,v2,v2,"{""max_entries"": 200000}",{}
isolation.easy.random-mcts.t0,isolation,easy,0.5,50000,200000,random,mcts,second,10,no_moves,12816850125671620322,1,v2,v2,{},"{""epsilon"": 1.0, ""max_nodes"": 50000, ""rollout_depth"": 10, ""sample_k"": 1}"
isolation.easy.mcts-random.t0,isolation,easy,0.5,50000,200000,mcts,random,first,11,no_moves,7843748000260049964,1,v2,v2,"{""epsilon"": 1.0, ""max_nodes"": 50000, ""rollout_depth"": 10, ""sample_k"": 1}",{}
isolation.easy.heuristic-alpha_beta.t0,isolation,easy,0.5,50000,200000,heuristic,alpha_beta,second,16,no_moves,5785695393174913633,1,v2,v2,{},"{""max_entries"": 200000}"
isolation.easy.alpha_beta-heuristic.t0,isolation,easy,0.5,50000,200000,alpha_beta,heuristic,first,9,no_moves,1204075532470290856,1,v2,v2,"{""max_entries"": 200000}",{}
isolation.easy.heuristic-mcts.t0,isolation,easy,0.5,50000,200000,heuristic,mcts,second,18,no_moves,3032765716458069886,1,v2,v2,{},"{""epsilon"": 1.0, ""max_nodes"": 50000, ""rollout_depth"": 10, ""sample_k"": 1}"
isolation.easy.mcts-heuristic.t0,isolation,easy,0.5,50000,200000,mcts,heuristic,first,17,no_moves,10821931144957757819,1,v2,v2,"{""epsilon"": 1.0, ""max_nodes"": 50000, ""rollout_depth"": 10, ""sample_k"": 1}",{}
isolation.easy.alpha_beta-mcts.t0,isolation,easy,0.5,50000,200000,alpha_beta,mcts,first,11,no_moves,7979118997385115649,1,v2,v2,"{""max_entries"": 200000}","{""epsilon"": 1.0, ""max_nodes"": 50000, ""rollout_depth"": 10, ""sample_k"": 1}"
isolation.easy.mcts-alpha_beta.t0,isolation,easy,0.5,50000,200000,mcts,alpha_beta,second,22,no_moves,10860156594821996876,1,v2,v2,"{""epsilon"": 1.0, ""max_nodes"": 50000, ""rollout_depth"": 10, ""sample_k"": 1}","{""max_entries"": 200000}"
isolation.main.random-heuristic.t0,isolation,main,0.1,50000,200000,random,heuristic,second,16,no_moves,14461444234364350748,1,v2,v2,{},{}
isolation.main.heuristic-random.t0,isolation,main,0.1,50000,200000,heuristic,random,first,11,no_moves,13062898108060106884,1,v2,v2,{},{}
isolation.main.random-alpha_beta.t0,isolation,main,0.1,50000,200000,random,alpha_beta,second,8,no_moves,8752005661725265336,1,v2,v2,{},"{""max_entries"": 200000}"
isolation.main.alpha_beta-random.t0,isolation,main,0.1,50000,200000,alpha_beta,random,first,13,no_moves,9741171081198768359,1,v2,v2,"{""max_entries"": 200000}",{}
isolation.main.random-mcts.t0,isolation,main,0.1,50000,200000,random,mcts,second,12,no_moves,15308987732030782832,1,v2,v2,{},"{""epsilon"": 1.0, ""max_nodes"": 50000, ""rollout_depth"": 10, ""sample_k"": 1}"
isolation.main.mcts-random.t0,isolation,main,0.1,50000,200000,mcts,random,first,11,no_moves,230739422324082246,1,v2,v2,"{""epsilon"": 1.0, ""max_nodes"": 50000, ""rollout_depth"": 10, ""sample_k"": 1}",{}
isolation.main.heuristic-alpha_beta.t0,isolation,main,0.1,50000,200000,heuristic,alpha_beta,second,16,no_moves,1853122252196816831,1,v2,v2,{},"{""max_entries"": 200000}"
isolation.main.alpha_beta-heuristic.t0,isolation,main,0.1,50000,200000,alpha_beta,heuristic,first,9,no_moves,1250620788446511770,1,v2,v2,"{""max_entries"": 200000}",{}
isolation.main.heuristic-mcts.t0,isolation,main,0.1,50000,200000,heuristic,mcts,second,14,no_moves,17077465552041754029,1,v2,v2,{},"{""epsilon"": 1.0, ""max_nodes"": 50000, ""rollout_depth"": 10, ""sample_k"": 1}"
isolation.main.mcts-heuristic.t0,isolation,main,0.1,50000,200000,mcts,heuristic,first,15,no_moves,16424077576124251997,1,v2,v2,"{""epsilon"": 1.0, ""max_nodes"": 50000, ""rollout_depth"": 10, ""sample_k"": 1}",{}
isolation.main.alpha_beta-mcts.t0,isolation,main,0.1,50000,200000,alpha_beta,mcts,first,13,no_moves,8899646410879703482,1,v2,v2,"{""max_entries"": 200000}","{""epsilon"": 1.0, ""max_nodes"": 50000, ""rollout_depth"": 10, ""sample_k"": 1}"
isolation.main.mcts-alpha_beta.t0,isolation,main,0.1,50000,200000,mcts,alpha_beta,first,17,no_moves,3057035977132139787,1,v2,v2,"{""epsilon"": 1.0, ""max_nodes"": 50000, ""rollout_depth"": 10, ""sample_k"": 1}","{""max_entries"": 200000}"
isolation.hard.random-heuristic.t0,isolation,hard,0.02,50000,200000,random,heuristic,second,18,no_moves,6948609518748321099,1,v2,v2,{},{}
isolation.hard.heuristic-random.t0,isolation,hard,0.02,50000,200000,heuristic,random,second,16,no_moves,18259725490858059453,1,v2,v2,{},{}
isolation.hard.random-alpha_beta.t0,isolation,hard,0.02,50000,200000,random,alpha_beta,second,22,no_moves,15482293052987139319,1,v2,v2,{},"{""max_entries"": 200000}"
isolation.hard.alpha_beta-random.t0,isolation,hard,0.02,50000,200000,alpha_beta,random,first,11,no_moves,9895628097911526214,1,v2,v2,"{""max_entries"": 200000}",{}
