game_id,ply,agent,side,tag,elapsed_s,nodes,simulations,depth,move,legal_move_count
isolation.easy.random-heuristic.t0,0,random,0,normal,0.000007,1,,,b5,11
isolation.easy.random-heuristic.t0,1,heuristic,1,normal,0.000050,11,,,c4,11
isolation.easy.random-heuristic.t0,2,random,0,normal,0.000002,1,,,b2,6
isolation.easy.random-heuristic.t0,3,heuristic,1,normal,0.000050,11,,,c3,11
isolation.easy.random-heuristic.t0,4,random,0,normal,0.000002,1,,,b1,9
isolation.easy.random-heuristic.t0,5,heuristic,1,normal,0.000039,11,,,d3,11
isolation.easy.random-heuristic.t0,6,random,0,normal,0.000001,1,,,c2,3
isolation.easy.random-heuristic.t0,7,heuristic,1,normal,0.000027,7,,,e2,7
isolation.easy.random-heuristic.t0,8,random,0,normal,0.000002,1,,,d1,4
isolation.easy.random-heuristic.t0,9,heuristic,1,normal,0.000016,5,,,e4,5
isolation.easy.random-heuristic.t0,10,random,0,normal,0.000001,1,,,e1,2
isolation.easy.random-heuristic.t0,11,heuristic,1,normal,0.000013,4,,,d4,4
isolation.easy.random-heuristic.t0,12,random,0,normal,0.000001,1,,,d2,1
isolation.easy.random-heuristic.t0,13,heuristic,1,normal,0.000010,3,,,e3,3
isolation.easy.heuristic-random.t0,0,heuristic,0,normal,0.000051,11,,,c3,11
isolation.easy.heuristic-random.t0,1,random,1,normal,0.000002,1,,,d1,9
isolation.easy.heuristic-random.t0,2,heuristic,0,normal,0.000056,14,,,d3,14
isolation.easy.heuristic-random.t0,3,random,1,normal,0.000002,1,,,b3,6
isolation.easy.heuristic-random.t0,4,heuristic,0,normal,0.000044,10,,,e4,10
isolation.easy.heuristic-random.t0,5,random,1,normal,0.000002,1,,,a4,10
isolation.easy.heuristic-random.t0,6,heuristic,0,normal,0.000036,8,,,b4,8
isolation.easy.heuristic-random.t0,7,random,1,normal,0.000001,1,,,a3,5
isolation.easy.heuristic-random.t0,8,heuristic,0,normal,0.000015,4,,,d4,4
isolation.easy.heuristic-random.t0,9,random,1,normal,0.000001,1,,,a1,3
isolation.easy.heuristic-random.t0,10,heuristic,0,normal,0.000014,4,,,e3,4
isolation.easy.heuristic-random.t0,11,random,1,normal,0.000001,1,,,b1,3
isolation.easy.heuristic-random.t0,12,heuristic,0,normal,0.000011,3,,,e2,3
isolation.easy.heuristic-random.t0,13,random,1,normal,0.000001,1,,,c2,3
isolation.easy.heuristic-random.t0,14,heuristic,0,normal,0.000009,2,,,d2,2
isolation.easy.heuristic-random.t0,15,random,1,normal,0.000002,1,,,a2,2
isolation.easy.heuristic-random.t0,16,heuristic,0,normal,0.000005,1,,,e1,1
isolation.easy.heuristic-random.t0,17,random,1,normal,0.000002,1,,,b2,1
isolation.easy.random-alpha_beta.t0,0,random,0,normal,0.000003,1,,,d4,11
isolation.easy.random-alpha_beta.t0,1,alpha_beta,1,time-limited,0.500047,151686,,9,c3,11
isolation.easy.random-alpha_beta.t0,2,random,0,normal,0.000006,1,,,e4,10
isolation.easy.random-alpha_beta.t0,3,alpha_beta,1,normal,0.053027,17789,,9,d3,12
isolation.easy.random-alpha_beta.t0,4,random,0,normal,0.000005,1,,,e5,5
isolation.easy.random-alpha_beta.t0,5,alpha_beta,1,normal,0.000267,87,,3,c4,8
isolation.easy.random-alpha_beta.t0,6,random,0,normal,0.000002,1,,,d5,1
isolation.easy.random-alpha_beta.t0,7,alpha_beta,1,normal,0.000011,5,,1,b5,5
isolation.easy.alpha_beta-random.t0,0,alpha_beta,0,time-limited,0.500036,150758,,9,c2,11
isolation.easy.alpha_beta-random.t0,1,random,1,normal,0.000007,1,,,b2,8
isolation.easy.alpha_beta-random.t0,2,alpha_beta,0,time-limited,0.500065,158851,,12,c3,10
isolation.easy.alpha_beta-random.t0,3,random,1,normal,0.000044,1,,,b5,7
isolation.easy.alpha_beta-random.t0,4,alpha_beta,0,time-limited,0.500041,164287,,16,c4,11
