game_id,ply,agent,side,tag,elapsed_s,nodes,simulations,depth,move,legal_move_count,tt_lookups,tt_hits,tt_size,mcts_tree_nodes,mcts_reused_nodes
isolation.easy.random-heuristic.t0,0,random,0,normal,0.000012,1,,,c2,11,,,,,
isolation.easy.random-heuristic.t0,1,heuristic,1,normal,0.000060,8,,,b2,8,,,,,
isolation.easy.random-heuristic.t0,2,random,0,normal,0.000003,1,,,e4,10,,,,,
isolation.easy.random-heuristic.t0,3,heuristic,1,normal,0.000058,10,,,d4,10,,,,,
isolation.easy.random-heuristic.t0,4,random,0,normal,0.000002,1,,,d5,6,,,,,
isolation.easy.random-heuristic.t0,5,heuristic,1,normal,0.000044,9,,,c4,9,,,,,
isolation.easy.random-heuristic.t0,6,random,0,normal,0.000002,1,,,e5,1,,,,,
isolation.easy.random-heuristic.t0,7,heuristic,1,normal,0.000015,8,,,b5,8,,,,,
isolation.easy.heuristic-random.t0,0,heuristic,0,normal,0.000078,11,,,c3,11,,,,,
isolation.easy.heuristic-random.t0,1,random,1,normal,0.000003,1,,,d2,9,,,,,
isolation.easy.heuristic-random.t0,2,heuristic,0,normal,0.000071,12,,,d3,12,,,,,
isolation.easy.heuristic-random.t0,3,random,1,normal,0.000002,1,,,e3,7,,,,,
isolation.easy.heuristic-random.t0,4,heuristic,0,normal,0.000038,8,,,e4,8,,,,,
isolation.easy.heuristic-random.t0,5,random,1,normal,0.000002,1,,,e2,3,,,,,
isolation.easy.heuristic-random.t0,6,heuristic,0,normal,0.000028,6,,,a4,6,,,,,
isolation.easy.heuristic-random.t0,7,random,1,normal,0.000002,1,,,e1,2,,,,,
isolation.easy.heuristic-random.t0,8,heuristic,0,normal,0.000043,11,,,d1,11,,,,,
isolation.easy.random-alpha_beta.t0,0,random,0,normal,0.000004,1,,,c3,11,,,,,
isolation.easy.random-alpha_beta.t0,1,alpha_beta,1,time-limited,0.500018,150566,,9,b1,9,55658,13764,41893,,
isolation.easy.random-alpha_beta.t0,2,random,0,normal,0.000007,1,,,b4,14,,,,,
isolation.easy.random-alpha_beta.t0,3,alpha_beta,1,time-limited,0.500085,152980,,11,e4,7,82054,26344,97597,,
isolation.easy.random-alpha_beta.t0,4,random,0,normal,0.000011,1,,,d4,8,,,,,
isolation.easy.random-alpha_beta.t0,5,alpha_beta,1,normal,0.117524,36359,,15,e2,7,27324,19029,105892,,
isolation.easy.random-alpha_beta.t0,6,random,0,normal,0.000006,1,,,c4,7,,,,,
isolation.easy.random-alpha_beta.t0,7,alpha_beta,1,normal,0.000070,16,,2,a2,8,8,8,105892,,
isolation.easy.random-alpha_beta.t0,8,random,0,normal,0.000002,1,,,d3,4,,,,,
isolation.easy.random-alpha_beta.t0,9,alpha_beta,1,normal,0.000265,42,,3,c2,8,21,17,105896,,
isolation.easy.random-alpha_beta.t0,10,random,0,normal,0.000003,1,,,e3,3,,,,,
isolation.easy.random-alpha_beta.t0,11,alpha_beta,1,normal,0.000023,5,,1,d2,5,0,0,105896,,
isolation.easy.alpha_beta-random.t0,0,alpha_beta,0,time-limited,0.500052,142070,,9,c2,11,50664,15430,35234,,
isolation.easy.alpha_beta-random.t0,1,random,1,normal,0.000007,1,,,a1,8,,,,,
isolation.easy.alpha_beta-random.t0,2,alpha_beta,0,time-limited,0.500016,151029,,10,c3,12,69449,27297,77385,,
isolation.easy.alpha_beta-random.t0,3,random,1,normal,0.000006,1,,,a4,6,,,,,
isolation.easy.alpha_beta-random.t0,4,alpha_beta,0,normal,0.094259,32297,,11,b4,12,19552,13100,83837,,
isolation.easy.alpha_beta-random.t0,5,random,1,normal,0.000006,1,,,a5,5,,,,,
isolation.easy.alpha_beta-random.t0,6,alpha_beta,0,normal,0.000040,8,,1,b5,8,0,0,83837,,
isolation.easy.random-mcts.t0,0,random,0,normal,0.000023,1,,,c2,11,,,,,
isolation.easy.random-mcts.t0,1,mcts,1,time-limited,0.500022,,20596,,e1,8,,,,20478,0
isolation.easy.random-mcts.t0,2,random,0,normal,0.000004,1,,,d3,12,,,,,
isolation.easy.random-mcts.t0,3,mcts,1,time-limited,0.500017,,20422,,a5,9,,,,20467,337
isolation.easy.random-mcts.t0,4,random,0,normal,0.000005,1,,,d4,12,,,,,
isolation.easy.random-mcts.t0,5,mcts,1,time-limited,0.500016,,24765,,b4,8,,,,24529,531
isolation.easy.random-mcts.t0,6,random,0,normal,0.000004,1,,,e5,8,,,,,
isolation.easy.random-mcts.t0,7,mcts,1,time-limited,0.500020,,43705,,c4,9,,,,18502,337
