game_id,game,agent,trial,winner,plies,end_reason,seed,first_budget_s,second_budget_s,max_nodes,max_entries,experiment
isolation.alpha_beta.0.1-vs-0.5.t0,isolation,alpha_beta,0,first,17,no_moves,11488190123719540202,0.1,0.5,50000,200000,time_selfplay
isolation.alpha_beta.0.5-vs-0.1.t0,isolation,alpha_beta,0,first,17,no_moves,11488190123719540202,0.5,0.1,50000,200000,time_selfplay
isolation.alpha_beta.0.1-vs-0.5.t1,isolation,alpha_beta,1,first,17,no_moves,17169829654745916782,0.1,0.5,50000,200000,time_selfplay
isolation.alpha_beta.0.5-vs-0.1.t1,isolation,alpha_beta,1,first,17,no_moves,17169829654745916782,0.5,0.1,50000,200000,time_selfplay
isolation.alpha_beta.0.1-vs-0.5.t2,isolation,alpha_beta,2,first,17,no_moves,3160664594485204182,0.1,0.5,50000,200000,time_selfplay
isolation.alpha_beta.0.5-vs-0.1.t2,isolation,alpha_beta,2,first,17,no_moves,3160664594485204182,0.5,0.1,50000,200000,time_selfplay
isolation.alpha_beta.0.1-vs-0.5.t3,isolation,alpha_beta,3,first,17,no_moves,4378453225853166449,0.1,0.5,50000,200000,time_selfplay
isolation.alpha_beta.0.5-vs-0.1.t3,isolation,alpha_beta,3,first,17,no_moves,4378453225853166449,0.5,0.1,50000,200000,time_selfplay
isolation.alpha_beta.0.1-vs-0.5.t4,isolation,alpha_beta,4,first,17,no_moves,2063357315345135331,0.1,0.5,50000,200000,time_selfplay
isolation.alpha_beta.0.5-vs-0.1.t4,isolation,alpha_beta,4,first,17,no_moves,2063357315345135331,0.5,0.1,50000,200000,time_selfplay
isolation.alpha_beta.0.1-vs-0.5.t5,isolation,alpha_beta,5,first,17,no_moves,12062447145306404883,0.1,0.5,50000,200000,time_selfplay
isolation.alpha_beta.0.5-vs-0.1.t5,isolation,alpha_beta,5,first,17,no_moves,12062447145306404883,0.5,0.1,50000,200000,time_selfplay
isolation.alpha_beta.0.1-vs-0.5.t6,isolation,alpha_beta,6,first,17,no_moves,6946553496308446897,0.1,0.5,50000,200000,time_selfplay
isolation.alpha_beta.0.5-vs-0.1.t6,isolation,alpha_beta,6,first,17,no_moves,6946553496308446897,0.5,0.1,50000,200000,time_selfplay
isolation.alpha_beta.0.1-vs-0.5.t7,isolation,alpha_beta,7,first,17,no_moves,8668070152257191538,0.1,0.5,50000,200000,time_selfplay
isolation.alpha_beta.0.5-vs-0.1.t7,isolation,alpha_beta,7,first,17,no_moves,8668070152257191538,0.5,0.1,50000,200000,time_selfplay
isolation.alpha_beta.0.1-vs-0.5.t8,isolation,alpha_beta,8,first,17,no_moves,10168203760049944348,0.1,0.5,50000,200000,time_selfplay
isolation.alpha_beta.0.5-vs-0.1.t8,isolation,alpha_beta,8,first,17,no_moves,10168203760049944348,0.5,0.1,50000,200000,time_selfplay
isolation.alpha_beta.0.1-vs-0.5.t9,isolation,alpha_beta,9,first,17,no_moves,18357507922641098893,0.1,0.5,50000,200000,time_selfplay
isolation.alpha_beta.0.5-vs-0.1.t9,isolation,alpha_beta,9,first,17,no_moves,18357507922641098893,0.5,0.1,50000,200000,time_selfplay
isolation.alpha_beta.0.1-vs-2.t0,isolation,alpha_beta,0,first,13,no_moves,5789727693343415651,0.1,2,50000,200000,time_selfplay
isolation.alpha_beta.2-vs-0.1.t0,isolation,alpha_beta,0,first,17,no_moves,5789727693343415651,2,0.1,50000,200000,time_selfplay
isolation.alpha_beta.0.1-vs-2.t1,isolation,alpha_beta,1,first,13,no_moves,11144402259514580240,0.1,2,50000,200000,time_selfplay
isolation.alpha_beta.2-vs-0.1.t1,isolation,alpha_beta,1,first,17,no_moves,11144402259514580240,2,0.1,50000,200000,time_selfplay
isolation.alpha_beta.0.1-vs-2.t2,isolation,alpha_beta,2,first,13,no_moves,2496810091543749838,0.1,2,50000,200000,time_selfplay
isolation.alpha_beta.2-vs-0.1.t2,isolation,alpha_beta,2,first,17,no_moves,2496810091543749838,2,0.1,50000,200000,time_selfplay
isolation.alpha_beta.0.1-vs-2.t3,isolation,alpha_beta,3,first,13,no_moves,2308607811956855470,0.1,2,50000,200000,time_selfplay
isolation.alpha_beta.2-vs-0.1.t3,isolation,alpha_beta,3,first,17,no_moves,2308607811956855470,2,0.1,50000,200000,time_selfplay
isolation.alpha_beta.0.1-vs-2.t4,isolation,alpha_beta,4,first,13,no_moves,6962347836094019735,0.1,2,50000,200000,time_selfplay
isolation.alpha_beta.2-vs-0.1.t4,isolation,alpha_beta,4,first,17,no_moves,6962347836094019735,2,0.1,50000,200000,time_selfplay
isolation.alpha_beta.0.1-vs-2.t5,isolation,alpha_beta,5,first,13,no_moves,7621524978624456054,0.1,2,50000,200000,time_selfplay
isolation.alpha_beta.2-vs-0.1.t5,isolation,alpha_beta,5,first,17,no_moves,7621524978624456054,2,0.1,50000,200000,time_selfplay
isolation.alpha_beta.0.1-vs-2.t6,isolation,alpha_beta,6,first,13,no_moves,17137375109939394748,0.1,2,50000,200000,time_selfplay
isolation.alpha_beta.2-vs-0.1.t6,isolation,alpha_beta,6,first,17,no_moves,17137375109939394748,2,0.1,50000,200000,time_selfplay
isolation.alpha_beta.0.1-vs-2.t7,isolation,alpha_beta,7,first,13,no_moves,2672090217399746603,0.1,2,50000,200000,time_selfplay
