game_id,ply,side,budget_s,tag,elapsed_s,nodes,simulations,depth,legal_move_count,move,tt_lookups,tt_hits,tt_size,mcts_tree_nodes,mcts_reused_nodes
isolation.alpha_beta.0.1-vs-0.5.t0,0,0,0.1,time-limited,0.100052,23544,,7,11,c2,7282,2165,5117,,
isolation.alpha_beta.0.1-vs-0.5.t0,1,1,0.5,time-limited,0.500066,133684,,11,8,b2,64315,29037,35278,,
isolation.alpha_beta.0.1-vs-0.5.t0,2,0,0.1,time-limited,0.100014,24743,,8,10,c3,10110,3235,11992,,
isolation.alpha_beta.0.1-vs-0.5.t0,3,1,0.5,time-limited,0.500042,150127,,16,7,b5,113694,89277,59695,,
isolation.alpha_beta.0.1-vs-0.5.t0,4,0,0.1,time-limited,0.100021,29445,,10,11,c4,16475,9223,19243,,
isolation.alpha_beta.0.1-vs-0.5.t0,5,1,0.5,normal,0.059760,21333,,16,4,b3,18934,17596,61033,,
isolation.alpha_beta.0.1-vs-0.5.t0,6,0,0.1,time-limited,0.100046,31234,,13,7,d4,22926,18036,24133,,
isolation.alpha_beta.0.1-vs-0.5.t0,7,1,0.5,normal,0.004632,1347,,8,4,a4,817,503,61347,,
isolation.alpha_beta.0.1-vs-0.5.t0,8,0,0.1,normal,0.030239,10575,,13,7,d5,8720,7448,25405,,
isolation.alpha_beta.0.1-vs-0.5.t0,9,1,0.5,normal,0.001384,498,,8,5,a3,255,161,61441,,
isolation.alpha_beta.0.1-vs-0.5.t0,10,0,0.1,normal,0.001407,448,,7,2,e5,212,120,25497,,
isolation.alpha_beta.0.1-vs-0.5.t0,11,1,0.5,normal,0.000028,6,,2,3,a2,3,3,61441,,
isolation.alpha_beta.0.1-vs-0.5.t0,12,0,0.1,normal,0.000044,10,,2,4,e4,4,4,25497,,
isolation.alpha_beta.0.1-vs-0.5.t0,13,1,0.5,normal,0.000019,4,,2,2,a1,2,2,61441,,
isolation.alpha_beta.0.1-vs-0.5.t0,14,0,0.1,normal,0.000031,8,,2,4,e2,4,4,25497,,
isolation.alpha_beta.0.1-vs-0.5.t0,15,1,0.5,normal,0.000013,2,,2,1,b1,1,1,61441,,
isolation.alpha_beta.0.1-vs-0.5.t0,16,0,0.1,normal,0.000012,5,,1,5,d3,0,0,25497,,
isolation.alpha_beta.0.5-vs-0.1.t0,0,0,0.5,time-limited,0.500046,122950,,9,11,c2,41836,12103,29733,,
isolation.alpha_beta.0.5-vs-0.1.t0,1,1,0.1,time-limited,0.100049,25367,,8,8,b2,9800,2810,6990,,
isolation.alpha_beta.0.5-vs-0.1.t0,2,0,0.5,time-limited,0.500056,134948,,11,10,c3,76016,41128,64620,,
isolation.alpha_beta.0.5-vs-0.1.t0,3,1,0.1,time-limited,0.100193,29077,,10,7,b5,16033,8390,14632,,
isolation.alpha_beta.0.5-vs-0.1.t0,4,0,0.5,time-limited,0.500059,147344,,15,11,c4,114163,92223,86560,,
isolation.alpha_beta.0.5-vs-0.1.t0,5,1,0.1,time-limited,0.100055,30594,,13,4,b3,21140,16113,19659,,
isolation.alpha_beta.0.5-vs-0.1.t0,6,0,0.5,normal,0.037306,12373,,15,7,d4,10885,10166,87279,,
isolation.alpha_beta.0.5-vs-0.1.t0,7,1,0.1,normal,0.022369,8224,,14,4,b4,6895,6105,20449,,
isolation.alpha_beta.0.5-vs-0.1.t0,8,0,0.5,normal,0.000095,17,,2,7,d5,7,7,87279,,
isolation.alpha_beta.0.5-vs-0.1.t0,9,1,0.1,normal,0.000027,6,,2,3,a5,3,3,20449,,
