game_id,game,agent,trial,winner,plies,end_reason,seed,first_budget_s,second_budget_s,max_nodes,max_entries,experiment
isolation.mcts.0.1-vs-0.5.t0,isolation,mcts,0,first,17,no_moves,6095306223818987176,0.1,0.5,50000,200000,time_selfplay
isolation.mcts.0.5-vs-0.1.t0,isolation,mcts,0,second,22,no_moves,6095306223818987176,0.5,0.1,50000,200000,time_selfplay
isolation.mcts.0.1-vs-0.5.t1,isolation,mcts,1,second,16,no_moves,942834530380470704,0.1,0.5,50000,200000,time_selfplay
isolation.mcts.0.5-vs-0.1.t1,isolation,mcts,1,first,13,no_moves,942834530380470704,0.5,0.1,50000,200000,time_selfplay
isolation.mcts.0.1-vs-0.5.t2,isolation,mcts,2,second,20,no_moves,17851850563036158997,0.1,0.5,50000,200000,time_selfplay
isolation.mcts.0.5-vs-0.1.t2,isolation,mcts,2,first,13,no_moves,17851850563036158997,0.5,0.1,50000,200000,time_selfplay
isolation.mcts.0.1-vs-0.5.t3,isolation,mcts,3,second,20,no_moves,6241540167398158418,0.1,0.5,50000,200000,time_selfplay
isolation.mcts.0.5-vs-0.1.t3,isolation,mcts,3,first,15,no_moves,6241540167398158418,0.5,0.1,50000,200000,time_selfplay
isolation.mcts.0.1-vs-0.5.t4,isolation,mcts,4,second,22,no_moves,16481328848947457218,0.1,0.5,50000,200000,time_selfplay
isolation.mcts.0.5-vs-0.1.t4,isolation,mcts,4,first,21,no_moves,16481328848947457218,0.5,0.1,50000,200000,time_selfplay
isolation.mcts.0.1-vs-0.5.t5,isolation,mcts,5,first,13,no_moves,6881467868756744949,0.1,0.5,50000,200000,time_selfplay
isolation.mcts.0.5-vs-0.1.t5,isolation,mcts,5,second,20,no_moves,6881467868756744949,0.5,0.1,50000,200000,time_selfplay
isolation.mcts.0.1-vs-0.5.t6,isolation,mcts,6,first,21,no_moves,15142262710843792835,0.1,0.5,50000,200000,time_selfplay
isolation.mcts.0.5-vs-0.1.t6,isolation,mcts,6,first,21,no_moves,15142262710843792835,0.5,0.1,50000,200000,time_selfplay
isolation.mcts.0.1-vs-0.5.t7,isolation,mcts,7,second,22,no_moves,13895471385753098690,0.1,0.5,50000,200000,time_selfplay
isolation.mcts.0.5-vs-0.1.t7,isolation,mcts,7,first,17,no_moves,13895471385753098690,0.5,0.1,50000,200000,time_selfplay
isolation.mcts.0.1-vs-0.5.t8,isolation,mcts,8,second,16,no_moves,7479673329435387698,0.1,0.5,50000,200000,time_selfplay
isolation.mcts.0.5-vs-0.1.t8,isolation,mcts,8,first,23,no_moves,7479673329435387698,0.5,0.1,50000,200000,time_selfplay
isolation.mcts.0.1-vs-0.5.t9,isolation,mcts,9,second,14,no_moves,16639755596474293428,0.1,0.5,50000,200000,time_selfplay
isolation.mcts.0.5-vs-0.1.t9,isolation,mcts,9,first,13,no_moves,16639755596474293428,0.5,0.1,50000,200000,time_selfplay
isolation.mcts.0.1-vs-2.t0,isolation,mcts,0,first,19,no_moves,14719814224008587640,0.1,2,50000,200000,time_selfplay
isolation.mcts.2-vs-0.1.t0,isolation,mcts,0,first,17,no_moves,14719814224008587640,2,0.1,50000,200000,time_selfplay
isolation.mcts.0.1-vs-2.t1,isolation,mcts,1,second,16,no_moves,5370983895765557299,0.1,2,50000,200000,time_selfplay
isolation.mcts.2-vs-0.1.t1,isolation,mcts,1,first,11,no_moves,5370983895765557299,2,0.1,50000,200000,time_selfplay
isolation.mcts.0.1-vs-2.t2,isolation,mcts,2,second,16,no_moves,10996958829627800153,0.1,2,50000,200000,time_selfplay
isolation.mcts.2-vs-0.1.t2,isolation,mcts,2,first,13,no_moves,10996958829627800153,2,0.1,50000,200000,time_selfplay
isolation.mcts.0.1-vs-2.t3,isolation,mcts,3,first,13,no_moves,7773488989348783235,0.1,2,50000,200000,time_selfplay
isolation.mcts.2-vs-0.1.t3,isolation,mcts,3,first,11,no_moves,7773488989348783235,2,0.1,50000,200000,time_selfplay
isolation.mcts.0.1-vs-2.t4,isolation,mcts,4,second,22,no_moves,5860075822301510587,0.1,2,50000,200000,time_selfplay
isolation.mcts.2-vs-0.1.t4,isolation,mcts,4,first,13,no_moves,5860075822301510587,2,0.1,50000,200000,time_selfplay
isolation.mcts.0.1-vs-2.t5,isolation,mcts,5,second,16,no_moves,12130352762263346511,0.1,2,50000,200000,time_selfplay
isolation.mcts.2-vs-0.1.t5,isolation,mcts,5,first,11,no_moves,12130352762263346511,2,0.1,50000,200000,time_selfplay
isolation.mcts.0.1-vs-2.t6,isolation,mcts,6,second,20,no_moves,14132751901192921703,0.1,2,50000,200000,time_selfplay
isolation.mcts.2-vs-0.1.t6,isolation,mcts,6,first,13,no_moves,14132751901192921703,2,0.1,50000,200000,time_selfplay
isolation.mcts.0.1-vs-2.t7,isolation,mcts,7,second,22,no_moves,13944854742435213594,0.1,2,50000,200000,time_selfplay
isolation.mcts.2-vs-0.1.t7,isolation,mcts,7,first,17,no_moves,13944854742435213594,2,0.1,50000,200000,time_selfplay
isolation.mcts.0.1-vs-2.t8,isolation,mcts,8,second,14,no_moves,7065740037588719358,0.1,2,50000,200000,time_selfplay
isolation.mcts.2-vs-0.1.t8,isolation,mcts,8,first,13,no_moves,7065740037588719358,2,0.1,50000,200000,time_selfplay
isolation.mcts.0.1-vs-2.t9,isolation,mcts,9,first,21,no_moves,13198370826818562888,0.1,2,50000,200000,time_selfplay
isolation.mcts.2-vs-0.1.t9,isolation,mcts,9,first,13,no_moves,13198370826818562888,2,0.1,50000,200000,time_selfplay
isolation.mcts.0.5-vs-2.t0,isolation,mcts,0,first,21,no_moves,10322133716958003609,0.5,2,50000,200000,time_selfplay
isolation.mcts.2-vs-0.5.t0,isolation,mcts,0,first,13,no_moves,10322133716958003609,2,0.5,50000,200000,time_selfplay
isolation.mcts.0.5-vs-2.t1,isolation,mcts,1,second,18,no_moves,16226606021965124074,0.5,2,50000,200000,time_selfplay
isolation.mcts.2-vs-0.5.t1,isolation,mcts,1,second,20,no_moves,16226606021965124074,2,0.5,50000,200000,time_selfplay
isolation.mcts.0.5-vs-2.t2,isolation,mcts,2,second,16,no_moves,2413372038426947148,0.5,2,50000,200000,time_selfplay
isolation.mcts.2-vs-0.5.t2,isolation,mcts,2,second,18,no_moves,2413372038426947148,2,0.5,50000,200000,time_selfplay
isolation.mcts.0.5-vs-2.t3,isolation,mcts,3,second,18,no_moves,92392846377201051,0.5,2,50000,200000,time_selfplay
isolation.mcts.2-vs-0.5.t3,isolation,mcts,3,first,19,no_moves,92392846377201051,2,0.5,50000,200000,time_selfplay
isolation.mcts.0.5-vs-2.t4,isolation,mcts,4,second,18,no_moves,9133389124494694896,0.5,2,50000,200000,time_selfplay
isolation.mcts.2-vs-0.5.t4,isolation,mcts,4,first,13,no_moves,9133389124494694896,2,0.5,50000,200000,time_selfplay
isolation.mcts.0.5-vs-2.t5,isolation,mcts,5,second,20,no_moves,17669653025185493701,0.5,2,50000,200000,time_selfplay
isolation.mcts.2-vs-0.5.t5,isolation,mcts,5,first,13,no_moves,17669653025185493701,2,0.5,50000,200000,time_selfplay
isolation.mcts.0.5-vs-2.t6,isolation,mcts,6,second,14,no_moves,15836128188237363623,0.5,2,50000,200000,time_selfplay
isolation.mcts.2-vs-0.5.t6,isolation,mcts,6,first,13,no_moves,15836128188237363623,2,0.5,50000,200000,time_selfplay
isolation.mcts.0.5-vs-2.t7,isolation,mcts,7,first,19,no_moves,73250409131839552,0.5,2,50000,200000,time_selfplay
isolation.mcts.2-vs-0.5.t7,isolation,mcts,7,second,22,no_moves,73250409131839552,2,0.5,50000,200000,time_selfplay
isolation.mcts.0.5-vs-2.t8,isolation,mcts,8,first,21,no_moves,15603771856229701746,0.5,2,50000,200000,time_selfplay
isolation.mcts.2-vs-0.5.t8,isolation,mcts,8,first,19,no_moves,15603771856229701746,2,0.5,50000,200000,time_selfplay
isolation.mcts.0.5-vs-2.t9,isolation,mcts,9,second,22,no_moves,2452441848969419742,0.5,2,50000,200000,time_selfplay
isolation.mcts.2-vs-0.5.t9,isolation,mcts,9,first,13,no_moves,2452441848969419742,2,0.5,50000,200000,time_selfplay
ataxx.mcts.0.1-vs-0.5.t0,ataxx,mcts,0,second,20,eliminated,10794965400671850065,0.1,0.5,50000,200000,time_selfplay
ataxx.mcts.0.5-vs-0.1.t0,ataxx,mcts,0,first,107,board_full,10794965400671850065,0.5,0.1,50000,200000,time_selfplay
ataxx.mcts.0.1-vs-0.5.t1,ataxx,mcts,1,second,30,eliminated,17045306044690462483,0.1,0.5,50000,200000,time_selfplay
ataxx.mcts.0.5-vs-0.1.t1,ataxx,mcts,1,first,81,eliminated,17045306044690462483,0.5,0.1,50000,200000,time_selfplay
ataxx.mcts.0.1-vs-0.5.t2,ataxx,mcts,2,second,28,eliminated,12406167656150368744,0.1,0.5,50000,200000,time_selfplay
ataxx.mcts.0.5-vs-0.1.t2,ataxx,mcts,2,first,145,board_full,12406167656150368744,0.5,0.1,50000,200000,time_selfplay
ataxx.mcts.0.1-vs-0.5.t3,ataxx,mcts,3,second,111,board_full,15378755754652400504,0.1,0.5,50000,200000,time_selfplay
ataxx.mcts.0.5-vs-0.1.t3,ataxx,mcts,3,first,17,eliminated,15378755754652400504,0.5,0.1,50000,200000,time_selfplay
ataxx.mcts.0.1-vs-0.5.t4,ataxx,mcts,4,second,132,board_full,17346622814757065049,0.1,0.5,50000,200000,time_selfplay
