game_id,ply,side,budget_s,tag,elapsed_s,nodes,simulations,depth,legal_move_count,move,tt_lookups,tt_hits,tt_size,mcts_tree_nodes,mcts_reused_nodes
isolation.mcts.0.1-vs-0.5.t0,0,0,0.1,time-limited,0.100022,,3100,,11,c2,,,,3101,0
isolation.mcts.0.1-vs-0.5.t0,1,1,0.5,time-limited,0.500009,,17334,,8,e3,,,,17213,0
isolation.mcts.0.1-vs-0.5.t0,2,0,0.1,time-limited,0.100012,,3866,,12,d3,,,,3908,44
isolation.mcts.0.1-vs-0.5.t0,3,1,0.5,time-limited,0.500022,,25329,,6,d4,,,,22972,317
isolation.mcts.0.1-vs-0.5.t0,4,0,0.1,time-limited,0.100024,,5373,,9,c4,,,,5431,123
isolation.mcts.0.1-vs-0.5.t0,5,1,0.5,time-limited,0.500010,,40878,,6,a1,,,,21801,8641
isolation.mcts.0.1-vs-0.5.t0,6,0,0.1,time-limited,0.100019,,6579,,7,b3,,,,6577,622
isolation.mcts.0.1-vs-0.5.t0,7,1,0.5,time-limited,0.500011,,53849,,7,a5,,,,12806,9629
isolation.mcts.0.1-vs-0.5.t0,8,0,0.1,time-limited,0.100012,,14302,,8,b4,,,,1764,769
isolation.mcts.0.1-vs-0.5.t0,9,1,0.5,time-limited,0.500013,,86710,,4,a3,,,,1545,1322
isolation.mcts.0.1-vs-0.5.t0,10,0,0.1,time-limited,0.100014,,18092,,5,c3,,,,371,357
isolation.mcts.0.1-vs-0.5.t0,11,1,0.5,time-limited,0.500015,,106117,,3,a2,,,,128,128
isolation.mcts.0.1-vs-0.5.t0,12,0,0.1,time-limited,0.100012,,19938,,3,e1,,,,57,57
isolation.mcts.0.1-vs-0.5.t0,13,1,0.5,time-limited,0.500018,,130267,,2,b1,,,,27,27
isolation.mcts.0.1-vs-0.5.t0,14,0,0.1,time-limited,0.100012,,29390,,3,d1,,,,13,13
isolation.mcts.0.1-vs-0.5.t0,15,1,0.5,time-limited,0.500017,,190166,,1,b2,,,,4,4
isolation.mcts.0.1-vs-0.5.t0,16,0,0.1,time-limited,0.100011,,47599,,2,d2,,,,3,3
isolation.mcts.0.5-vs-0.1.t0,0,0,0.5,time-limited,0.500027,,15237,,11,e5,,,,15238,0
isolation.mcts.0.5-vs-0.1.t0,1,1,0.1,time-limited,0.100018,,3488,,11,c3,,,,3489,0
isolation.mcts.0.5-vs-0.1.t0,2,0,0.5,time-limited,0.500054,,16949,,6,d4,,,,17063,131
isolation.mcts.0.5-vs-0.1.t0,3,1,0.1,time-limited,0.100015,,4066,,12,b2,,,,4131,66
isolation.mcts.0.5-vs-0.1.t0,4,0,0.5,time-limited,0.509183,,19946,,9,d5,,,,20105,270
isolation.mcts.0.5-vs-0.1.t0,5,1,0.1,time-limited,0.100010,,4727,,10,b1,,,,4763,57
isolation.mcts.0.5-vs-0.1.t0,6,0,0.5,time-limited,0.500012,,22230,,4,a2,,,,22571,1122
isolation.mcts.0.5-vs-0.1.t0,7,1,0.1,time-limited,0.100010,,3634,,4,e4,,,,3795,246
isolation.mcts.0.5-vs-0.1.t0,8,0,0.5,time-limited,0.500017,,27606,,6,a5,,,,32223,9306
isolation.mcts.0.5-vs-0.1.t0,9,1,0.1,time-limited,0.100022,,6099,,5,c2,,,,6408,802
isolation.mcts.0.5-vs-0.1.t0,10,0,0.5,time-limited,0.500009,,39199,,4,b4,,,,20512,7178
isolation.mcts.0.5-vs-0.1.t0,11,1,0.1,time-limited,0.100018,,8904,,6,d3,,,,4404,1842
isolation.mcts.0.5-vs-0.1.t0,12,0,0.5,time-limited,0.500021,,62292,,5,a3,,,,4303,4005
isolation.mcts.0.5-vs-0.1.t0,13,1,0.1,time-limited,0.100013,,14615,,6,e3,,,,989,883
isolation.mcts.0.5-vs-0.1.t0,14,0,0.5,time-limited,0.500014,,83679,,2,b3,,,,309,309
isolation.mcts.0.5-vs-0.1.t0,15,1,0.1,time-limited,0.100022,,19138,,3,e2,,,,154,154
isolation.mcts.0.5-vs-0.1.t0,16,0,0.5,time-limited,0.500016,,103695,,2,a4,,,,51,51
isolation.mcts.0.5-vs-0.1.t0,17,1,0.1,time-limited,0.100014,,22806,,3,e1,,,,25,25
isolation.mcts.0.5-vs-0.1.t0,18,0,0.5,time-limited,0.500020,,141176,,1,b5,,,,8,8
isolation.mcts.0.5-vs-0.1.t0,19,1,0.1,time-limited,0.100045,,30249,,2,d2,,,,7,7
isolation.mcts.0.5-vs-0.1.t0,20,0,0.5,time-limited,0.500018,,199832,,1,c4,,,,3,3
isolation.mcts.0.5-vs-0.1.t0,21,1,0.1,time-limited,0.100014,,53335,,1,d1,,,,2,2
isolation.mcts.0.1-vs-0.5.t1,0,0,0.1,time-limited,0.143645,,2682,,11,a5,,,,2683,0
isolation.mcts.0.1-vs-0.5.t1,1,1,0.5,time-limited,0.500017,,16837,,11,b2,,,,16830,0
isolation.mcts.0.1-vs-0.5.t1,2,0,0.1,time-limited,0.100016,,3790,,9,b4,,,,3814,28
isolation.mcts.0.1-vs-0.5.t1,3,1,0.5,time-limited,0.500012,,18997,,11,c3,,,,19108,181
isolation.mcts.0.1-vs-0.5.t1,4,0,0.1,time-limited,0.100018,,4479,,7,e4,,,,4499,47
isolation.mcts.0.1-vs-0.5.t1,5,1,0.5,time-limited,0.500059,,25490,,10,d3,,,,19272,474
isolation.mcts.0.1-vs-0.5.t1,6,0,0.1,time-limited,0.100022,,6077,,7,e1,,,,5658,118
isolation.mcts.0.1-vs-0.5.t1,7,1,0.5,time-limited,0.500019,,58248,,10,d2,,,,5411,3699
isolation.mcts.0.1-vs-0.5.t1,8,0,0.1,time-limited,0.100017,,11443,,3,e2,,,,2470,202
